ts_ms,open,high,low,close,volume
1736294400000,96941.98,97254.35,92500.0,95036.63,14182.29739458
1736380800000,95033.18,95363.26,91187.0,92547.44,9712.37853215
1736467200000,92547.44,95862.92,92209.25,94701.18,12634.03407823
1736553600000,94701.48,94983.65,93804.05,94565.02,2638.69956767
1736640000000,94569.91,95383.84,93670.3,94509.62,2025.81612971
1736726400000,94507.24,95900.0,89028.64,94506.45,13094.86359481
1736812800000,94507.35,97353.29,94311.36,96534.96,11210.74226727
1736899200000,96534.97,100716.45,96400.0,100510.23,13610.74729401
1736985600000,100504.27,100880.0,97277.58,99981.78,12312.37366854
1737072000000,99981.46,105970.0,99937.81,104107.0,20518.30949325
1737158400000,104107.0,104933.15,102233.45,104435.0,7835.29991824
1737244800000,104435.01,106314.44,99518.0,101211.13,13312.63685598
1737331200000,101217.78,109358.01,99416.27,102145.43,32342.18311338
1737417600000,102145.42,107291.1,100051.0,106159.26,19411.23488978
1737504000000,106159.27,106431.34,103100.0,103667.11,10730.018962
1737590400000,103659.6,106870.87,101200.01,103926.36,25064.86499945
1737676800000,103926.36,107200.0,102751.92,104850.27,12921.99361413
1737763200000,104866.13,105294.0,104104.0,104733.56,3404.85308291
1737849600000,104729.92,105478.8,102452.24,102563.0,4575.36611531
1737936000000,102565.28,103228.46,97715.03,102062.42,23647.14111877
1738022400000,102063.92,103770.85,100213.8,101290.0,9488.53429464
1738108800000,101290.01,104829.64,101275.6,103747.25,11403.20278905
1738195200000,103747.25,106484.77,103289.74,104742.64,13061.34881233
1738281600000,104742.63,106090.0,101506.0,102411.26,13313.68104489
1738368000000,102414.05,102781.65,100250.0,100623.85,3390.25555744
1738454400000,100623.88,101459.84,96179.0,97676.52,10366.65062753
1738540800000,97676.53,102599.85,91178.01,101460.2,31328.72219576
1738627200000,101460.15,101812.23,96145.76,97795.05,14168.7031661
1738713600000,97795.06,99230.49,96161.01,96638.33,9308.59185883
1738800000000,96635.62,99182.15,95674.96,96564.62,9168.94674634
1738886400000,96575.24,100235.79,95614.96,96537.08,12171.82534167
1738972800000,96536.93,96919.05,95682.33,96476.25,2972.45715184
1739059200000,96476.24,97342.28,94730.67,96475.82,3417.87009701
1739145600000,96481.47,98367.23,95257.2,97444.41,6375.72539123
1739232000000,97451.66,98500.0,94831.07,95774.08,7737.05105717
1739318400000,95770.95,98119.98,94066.92,97862.53,9078.50356189
1739404800000,97864.28,98100.0,95220.0,96625.29,6803.6078927
1739491200000,96625.29,98890.11,96268.56,97509.03,7744.67640105
1739577600000,97507.94,97997.85,97225.01,97596.94,1626.51929078
1739664000000,97596.54,97738.22,96057.68,96119.88,2174.29326885
1739750400000,96119.88,97050.64,95200.0,95781.8,3533.01273263
1739836800000,95781.8,96730.0,93333.0,95607.4,8867.39878431
1739923200000,95612.97,96880.0,95000.01,96632.03,6945.44897339
1740009600000,96632.03,98768.54,96419.07,98347.2,10582.84622768
1740096000000,98347.2,99517.52,94721.92,96157.03,19298.23921958
1740182400000,96157.03,96982.52,95767.95,96582.12,7324.02366243
1740268800000,96578.49,96679.93,95243.91,96265.98,3787.84705335
1740355200000,96266.23,96515.41,91300.0,91510.82,12644.0435007
1740441600000,91509.88,92549.99,85836.18,88583.74,31587.91715546
1740528000000,88583.17,89305.68,82111.12,84111.78,21568.55463119
1740614400000,84111.77,86993.87,82554.11,84625.19,16836.55524727
1740700800000,84627.5,85116.19,78167.81,84297.73,30755.74245077
1740787200000,84297.74,86534.96,83772.54,86018.76,6852.5441262
1740873600000,86018.82,95128.88,85003.35,94265.48,16751.22972996
1740960000000,94265.47,94415.61,85007.01,86161.1,22691.67068614
1741046400000,86161.09,88977.27,81444.0,87249.96,23130.37098654
1741132800000,87247.93,91000.0,86329.22,90603.73,14900.93396554
1741219200000,90607.73,92817.29,87790.5,89921.85,13303.43744669
1741305600000,89915.02,91280.0,84608.27,86756.98,27137.2022302
1741392000000,86753.3,86863.38,85200.0,86206.69,3023.2478665
1741478400000,86206.64,86480.0,80000.0,80699.17,7565.44749561
1741564800000,80708.21,84033.66,77389.0,78544.71,21375.10120997
1741651200000,78548.18,83600.0,76555.0,82914.51,17096.37980265
1741737600000,82911.81,84442.69,80572.21,83659.43,12617.220582
1741824000000,83659.45,84310.8,79890.0,81073.43,10506.80043483
1741910400000,81071.5,85318.61,80771.17,83980.49,10857.45703924
1741996800000,83989.86,84690.43,83612.24,84351.46,2331.92028578
1742083200000,84351.45,85092.35,81969.44,82562.57,4059.89765099
1742169600000,82562.5,84758.46,82416.98,84011.4,7785.97733364
1742256000000,84011.39,84029.67,81125.0,82698.76,7316.63296603
1742342400000,82699.53,87045.45,82535.53,86877.96,13056.03519886
1742428800000,86877.97,87492.87,83596.75,84183.42,9880.31696275
1742515200000,84183.41,84809.72,83100.0,84061.96,6257.63558757
1742601600000,84061.96,84517.75,83659.69,83852.03,2108.51345069
1742688000000,83852.06,86128.99,83804.67,86092.94,3467.46945277
1742774400000,86092.95,88804.64,85533.06,87523.62,13107.50391644
1742860800000,87518.09,88584.34,86321.97,87427.88,10153.98312373
1742947200000,87432.82,88304.1,85850.0,86926.01,6885.71986041
1743033600000,86926.01,87790.12,85784.0,87217.48,6904.09386105
1743120000000,87214.07,87498.15,83533.4,84381.8,10031.80008987
1743206400000,84381.81,84584.13,81608.99,82616.83,3194.24303663
1743292800000,82624.06,83508.98,81538.88,82379.98,2472.72302228
1743379200000,82379.98,83920.8,81265.16,82534.32,6887.94694226
1743465600000,82534.31,85566.53,82403.32,85170.37,9130.97692565
1743552000000,85166.92,88530.0,82283.01,82490.08,16748.28262337
1743638400000,82490.1,83953.45,81177.7,83174.33,11800.91106566
1743724800000,83178.68,84720.67,81643.54,83860.16,14593.03092888
1743811200000,83859.78,84238.35,82346.61,83498.25,2836.42920662
1743897600000,83505.88,83773.58,77058.99,78370.75,11014.8594773
1743984000000,78370.15,81223.67,74420.69,79140.01,26706.52930797
1744070400000,79140.02,80849.98,76167.35,76251.64,14917.02351692
1744156800000,76258.8,83583.35,74553.01,82594.75,23584.94464084
1744243200000,82593.15,82730.93,78387.24,79552.34,11876.12778689
